Unnamed: 0,Unnamed: 0.1,Country,Total Cases,New Cases (+),Total Deaths,New Deaths (+),Total Recovered,Active Cases,Serious Critical,Total Cases/1M pop,Total Deaths/1M pop,Total Tests,Total Tests/1M pop,Date & Time
0.0,93.0,San Marino,251,,32,,26,193,13,"7,397",943,586,"17,270",2020-04-04 00:58:18.013389
93.0,,San Marino,251,,32,,26,193,13,"7,397",943,586,"17,270",2020-04-04 00:58:18.013389
,,San Marino,251,,32,,26,193,13,"7,397",943,586,"17,270",2020-04-04 01:04:27.267094
,,San Marino,251,,32,,26,193,13,"7,397",943,586,"17,270",2020-04-04 01:09:31.910915
,,San Marino,251,,32,,26,193,13,"7,397",943,586,"17,270",2020-04-04 01:14:36.356913
,,San Marino,251,,32,,26,193,13,"7,397",943,586,"17,270",2020-04-04 01:19:40.873966
,,San Marino,251,,32,,26,193,13,"7,397",943,586,"17,270",2020-04-04 01:24:44.773985
,,San Marino,251,,32,,26,193,13,"7,397",943,586,"17,270",2020-04-04 01:29:48.924870
,,San Marino,251,,32,,26,193,13,"7,397",943,586,"17,270",2020-04-04 01:34:53.046987
,,San Marino,251,,32,,26,193,13,"7,397",943,586,"17,270",2020-04-04 01:39:57.245044
,,San Marino,251,,32,,26,193,13,"7,397",943,586,"17,270",2020-04-04 01:45:01.224374
,,San Marino,251,,32,,26,193,13,"7,397",943,586,"17,270",2020-04-04 01:50:05.334452
,,San Marino,251,,32,,26,193,13,"7,397",943,586,"17,270",2020-04-04 01:55:09.724467
,,San Marino,251,,32,,26,193,13,"7,397",943,586,"17,270",2020-04-04 02:00:13.762728
,,San Marino,251,,32,,26,193,13,"7,397",943,586,"17,270",2020-04-04 02:05:17.933671
,,San Marino,251,,32,,26,193,13,"7,397",943,586,"17,270",2020-04-04 02:10:21.490892
,,San Marino,251,,32,,26,193,13,"7,397",943,586,"17,270",2020-04-04 02:15:25.654397
,,San Marino,251,,32,,26,193,13,"7,397",943,586,"17,270",2020-04-04 02:20:29.781667
,,San Marino,251,,32,,26,193,13,"7,397",943,586,"17,270",2020-04-04 02:25:33.961495
,,San Marino,251,,32,,26,193,13,"7,397",943,586,"17,270",2020-04-04 02:30:38.021814
,,San Marino,251,,32,,26,193,13,"7,397",943,586,"17,270",2020-04-04 02:35:42.166126
