Unnamed: 0,Unnamed: 0.1,Country,Total Cases,New Cases (+),Total Deaths,New Deaths (+),Total Recovered,Active Cases,Serious Critical,Total Cases/1M pop,Total Deaths/1M pop,Total Tests,Total Tests/1M pop,Date & Time
0.0,169.0,Curaçao,11,,1,,3,7,,67,6,,,2020-04-04 00:58:18.013389
169.0,,Curaçao,11,,1,,3,7,,67,6,,,2020-04-04 00:58:18.013389
,,Curaçao,11,,1,,3,7,,67,6,,,2020-04-04 01:04:27.267094
,,Curaçao,11,,1,,3,7,,67,6,,,2020-04-04 01:09:31.910915
,,Curaçao,11,,1,,3,7,,67,6,,,2020-04-04 01:14:36.356913
,,Curaçao,11,,1,,3,7,,67,6,,,2020-04-04 01:19:40.873966
,,Curaçao,11,,1,,3,7,,67,6,,,2020-04-04 01:24:44.773985
,,Curaçao,11,,1,,3,7,,67,6,,,2020-04-04 01:29:48.924870
,,Curaçao,11,,1,,3,7,,67,6,,,2020-04-04 01:34:53.046987
,,Curaçao,11,,1,,3,7,,67,6,,,2020-04-04 01:39:57.245044
,,Curaçao,11,,1,,3,7,,67,6,,,2020-04-04 01:45:01.224374
,,Curaçao,11,,1,,3,7,,67,6,,,2020-04-04 01:50:05.334452
,,Curaçao,11,,1,,3,7,,67,6,,,2020-04-04 01:55:09.724467
,,Curaçao,11,,1,,3,7,,67,6,,,2020-04-04 02:00:13.762728
,,Curaçao,11,,1,,3,7,,67,6,,,2020-04-04 02:05:17.933671
,,Curaçao,11,,1,,3,7,,67,6,,,2020-04-04 02:10:21.490892
,,Curaçao,11,,1,,3,7,,67,6,,,2020-04-04 02:15:25.654397
,,Curaçao,11,,1,,3,7,,67,6,,,2020-04-04 02:20:29.781667
,,Curaçao,11,,1,,3,7,,67,6,,,2020-04-04 02:25:33.961495
,,Curaçao,11,,1,,3,7,,67,6,,,2020-04-04 02:30:38.021814
,,Curaçao,11,,1,,3,7,,67,6,,,2020-04-04 02:35:42.166126
,,Curaçao,11,,1,,3,7,,67,6,,,2020-04-04 02:40:46.240392
,,Curaçao,11,,1,,3,7,,67,6,,,2020-04-04 02:45:50.338725
,,Curaçao,11,,1,,3,7,,67,6,,,2020-04-04 02:50:54.535026
,,Curaçao,11,,1,,3,7,,67,6,,,2020-04-04 02:55:58.704356
,,Curaçao,11,,1,,3,7,,67,6,,,2020-04-04 03:01:02.862380
,,Curaçao,11,,1,,3,7,,67,6,,,2020-04-04 03:06:06.499314
,,Curaçao,11,,1,,3,7,,67,6,,,2020-04-04 03:11:10.980734
,,Curaçao,11,,1,,3,7,,67,6,,,2020-04-04 03:16:15.187790
,,Curaçao,11,,1,,3,7,,67,6,,,2020-04-04 03:21:19.365517
,,Curaçao,11,,1,,3,7,,67,6,,,2020-04-04 03:26:23.610950
,,Curaçao,11,,1,,3,7,,67,6,,,2020-04-04 03:31:27.856370
,,Curaçao,11,,1,,3,7,,67,6,,,2020-04-04 03:36:32.110722
,,Curaçao,11,,1,,3,7,,67,6,,,2020-04-04 03:41:36.371017
,,Curaçao,11,,1,,3,7,,67,6,,,2020-04-04 03:46:40.544393
,,Curaçao,11,,1,,3,7,,67,6,,,2020-04-04 03:51:44.811673
,,Curaçao,11,,1,,3,7,,67,6,,,2020-04-04 03:56:49.119949
,,Curaçao,11,,1,,3,7,,67,6,,,2020-04-04 04:01:53.476810
,,Curaçao,11,,1,,3,7,,67,6,,,2020-04-04 04:06:57.968253
,,Curaçao,11,,1,,3,7,,67,6,,,2020-04-04 04:12:01.739508
,,Curaçao,11,,1,,3,7,,67,6,,,2020-04-04 04:17:05.957812
,,Curaçao,11,,1,,3,7,,67,6,,,2020-04-04 04:22:10.183780
