Unnamed: 0,Unnamed: 0.1,Country,Total Cases,New Cases (+),Total Deaths,New Deaths (+),Total Recovered,Active Cases,Serious Critical,Total Cases/1M pop,Total Deaths/1M pop,Total Tests,Total Tests/1M pop,Date & Time
0.0,198.0,Anguilla,3,,,,,3,,200,,,,2020-04-04 00:58:18.013389
198.0,,Anguilla,3,,,,,3,,200,,,,2020-04-04 00:58:18.013389
,,Anguilla,3,,,,,3,,200,,,,2020-04-04 01:04:27.267094
,,Anguilla,3,,,,,3,,200,,,,2020-04-04 01:09:31.910915
,,Anguilla,3,,,,,3,,200,,,,2020-04-04 01:14:36.356913
,,Anguilla,3,,,,,3,,200,,,,2020-04-04 01:19:40.873966
,,Anguilla,3,,,,,3,,200,,,,2020-04-04 01:24:44.773985
,,Anguilla,3,,,,,3,,200,,,,2020-04-04 01:29:48.924870
,,Anguilla,3,,,,,3,,200,,,,2020-04-04 01:34:53.046987
,,Anguilla,3,,,,,3,,200,,,,2020-04-04 01:39:57.245044
,,Anguilla,3,,,,,3,,200,,,,2020-04-04 01:45:01.224374
,,Anguilla,3,,,,,3,,200,,,,2020-04-04 01:50:05.334452
,,Anguilla,3,,,,,3,,200,,,,2020-04-04 01:55:09.724467
,,Anguilla,3,,,,,3,,200,,,,2020-04-04 02:00:13.762728
,,Anguilla,3,,,,,3,,200,,,,2020-04-04 02:05:17.933671
,,Anguilla,3,,,,,3,,200,,,,2020-04-04 02:10:21.490892
,,Anguilla,3,,,,,3,,200,,,,2020-04-04 02:15:25.654397
,,Anguilla,3,,,,,3,,200,,,,2020-04-04 02:20:29.781667
,,Anguilla,3,,,,,3,,200,,,,2020-04-04 02:25:33.961495
,,Anguilla,3,,,,,3,,200,,,,2020-04-04 02:30:38.021814
,,Anguilla,3,,,,,3,,200,,,,2020-04-04 02:35:42.166126
,,Anguilla,3,,,,,3,,200,,,,2020-04-04 02:40:46.240392
,,Anguilla,3,,,,,3,,200,,,,2020-04-04 02:45:50.338725
,,Anguilla,3,,,,,3,,200,,,,2020-04-04 02:50:54.535026
,,Anguilla,3,,,,,3,,200,,,,2020-04-04 02:55:58.704356
,,Anguilla,3,,,,,3,,200,,,,2020-04-04 03:01:02.862380
,,Anguilla,3,,,,,3,,200,,,,2020-04-04 03:06:06.499314
,,Anguilla,3,,,,,3,,200,,,,2020-04-04 03:11:10.980734
,,Anguilla,3,,,,,3,,200,,,,2020-04-04 03:16:15.187790
,,Anguilla,3,,,,,3,,200,,,,2020-04-04 03:21:19.365517
,,Anguilla,3,,,,,3,,200,,,,2020-04-04 03:26:23.610950
,,Anguilla,3,,,,,3,,200,,,,2020-04-04 03:31:27.856370
,,Anguilla,3,,,,,3,,200,,,,2020-04-04 03:36:32.110722
,,Anguilla,3,,,,,3,,200,,,,2020-04-04 03:41:36.371017
,,Anguilla,3,,,,,3,,200,,,,2020-04-04 03:46:40.544393
,,Anguilla,3,,,,,3,,200,,,,2020-04-04 03:51:44.811673
,,Anguilla,3,,,,,3,,200,,,,2020-04-04 03:56:49.119949
,,Anguilla,3,,,,,3,,200,,,,2020-04-04 04:01:53.476810
,,Anguilla,3,,,,,3,,200,,,,2020-04-04 04:06:57.968253
,,Anguilla,3,,,,,3,,200,,,,2020-04-04 04:12:01.739508
,,Anguilla,3,,,,,3,,200,,,,2020-04-04 04:17:05.957812
,,Anguilla,3,,,,,3,,200,,,,2020-04-04 04:22:10.183780
,,Anguilla,3,,,,,3,,200,,,,2020-04-04 04:27:14.462893
,,Anguilla,3,,,,,3,,200,,,,2020-04-04 04:32:18.743769
,,Anguilla,3,,,,,3,,200,,,,2020-04-04 04:37:22.958682
,,Anguilla,3,,,,,3,,200,,,,2020-04-04 04:42:27.210307
,,Anguilla,3,,,,,3,,200,,,,2020-04-04 04:47:31.516070
,,Anguilla,3,,,,,3,,200,,,,2020-04-04 04:52:35.776560
,,Anguilla,3,,,,,3,,200,,,,2020-04-04 04:57:40.142831
,,Anguilla,3,,,,,3,,200,,,,2020-04-04 05:02:44.500676
,,Anguilla,3,,,,,3,,200,,,,2020-04-04 05:07:48.618312
,,Anguilla,3,,,,,3,,200,,,,2020-04-04 05:12:52.886542
,,Anguilla,3,,,,,3,,200,,,,2020-04-04 05:17:57.204328
,,Anguilla,3,,,,,3,,200,,,,2020-04-04 05:23:01.682765
,,Anguilla,3,,,,,3,,200,,,,2020-04-04 05:28:06.060275
,,Anguilla,3,,,,,3,,200,,,,2020-04-04 05:33:10.486081
,,Anguilla,3,,,,,3,,200,,,,2020-04-04 05:38:14.828330
,,Anguilla,3,,,,,3,,200,,,,2020-04-04 05:43:19.177383
,,Anguilla,3,,,,,3,,200,,,,2020-04-04 05:48:23.453790
,,Anguilla,3,,,,,3,,200,,,,2020-04-04 05:53:27.755756
,,Anguilla,3,,,,,3,,200,,,,2020-04-04 05:58:32.143548
,,Anguilla,3,,,,,3,,200,,,,2020-04-04 06:03:36.457601
,,Anguilla,3,,,,,3,,200,,,,2020-04-04 06:08:40.964568
,,Anguilla,3,,,,,3,,200,,,,2020-04-04 06:13:45.300584
,,Anguilla,3,,,,,3,,200,,,,2020-04-04 06:18:49.713431
,,Anguilla,3,,,,,3,,200,,,,2020-04-04 06:23:53.862539
,,Anguilla,3,,,,,3,,200,,,,2020-04-04 06:28:58.309875
,,Anguilla,3,,,,,3,,200,,,,2020-04-04 06:34:02.606354
,,Anguilla,3,,,,,3,,200,,,,2020-04-04 06:39:06.983057
,,Anguilla,3,,,,,3,,200,,,,2020-04-04 06:44:11.357405
,,Anguilla,3,,,,,3,,200,,,,2020-04-04 06:49:15.701560
,,Anguilla,3,,,,,3,,200,,,,2020-04-04 06:54:19.988720
,,Anguilla,3,,,,,3,,200,,,,2020-04-04 06:59:24.371691
,,Anguilla,3,,,,,3,,200,,,,2020-04-04 07:04:28.777480
,,Anguilla,3,,,,,3,,200,,,,2020-04-04 07:09:33.095962
,,Anguilla,3,,,,,3,,200,,,,2020-04-04 07:14:37.559243
,,Anguilla,3,,,,,3,,200,,,,2020-04-04 07:19:41.901833
,,Anguilla,3,,,,,3,,200,,,,2020-04-04 07:24:46.114033
,,Anguilla,3,,,,,3,,200,,,,2020-04-04 07:29:50.587466
,,Anguilla,3,,,,,3,,200,,,,2020-04-04 07:34:54.877214
,,Anguilla,3,,,,,3,,200,,,,2020-04-04 07:39:59.188119
,,Anguilla,3,,,,,3,,200,,,,2020-04-04 07:45:03.498819
,,Anguilla,3,,,,,3,,200,,,,2020-04-04 07:50:07.872567
,,Anguilla,3,,,,,3,,200,,,,2020-04-04 07:55:12.158356
,,Anguilla,3,,,,,3,,200,,,,2020-04-04 08:00:16.597732
,,Anguilla,3,,,,,3,,200,,,,2020-04-04 08:05:21.054389
,,Anguilla,3,,,,,3,,200,,,,2020-04-04 08:10:25.598047
,,Anguilla,3,,,,,3,,200,,,,2020-04-04 08:15:30.025858
,,Anguilla,3,,,,,3,,200,,,,2020-04-04 08:20:34.416416
,,Anguilla,3,,,,,3,,200,,,,2020-04-04 08:25:38.990689
,,Anguilla,3,,,,,3,,200,,,,2020-04-04 08:30:43.420659
,,Anguilla,3,,,,,3,,200,,,,2020-04-04 08:35:47.870639
,,Anguilla,3,,,,,3,,200,,,,2020-04-04 08:40:52.361130
,,Anguilla,3,,,,,3,,200,,,,2020-04-04 08:45:56.719918
,,Anguilla,3,,,,,3,,200,,,,2020-04-04 08:51:00.980276
,,Anguilla,3,,,,,3,,200,,,,2020-04-04 08:56:05.342012
,,Anguilla,3,,,,,3,,200,,,,2020-04-04 09:01:09.974928
,,Anguilla,3,,,,,3,,200,,,,2020-04-04 09:06:14.215607
,,Anguilla,3,,,,,3,,200,,,,2020-04-04 09:11:18.523344
,,Anguilla,3,,,,,3,,200,,,,2020-04-04 09:16:23.141165
,,Anguilla,3,,,,,3,,200,,,,2020-04-04 09:21:27.562783
,,Anguilla,3,,,,,3,,200,,,,2020-04-04 09:26:31.868044
,,Anguilla,3,,,,,3,,200,,,,2020-04-04 09:31:36.275953
,,Anguilla,3,,,,,3,,200,,,,2020-04-04 09:36:40.657518
,,Anguilla,3,,,,,3,,200,,,,2020-04-04 09:41:45.085791
,,Anguilla,3,,,,,3,,200,,,,2020-04-04 09:46:50.458957
,,Anguilla,3,,,,,3,,200,,,,2020-04-04 09:51:55.007261
,,Anguilla,3,,,,,3,,200,,,,2020-04-04 09:56:59.529333
,,Anguilla,3,,,,,3,,200,,,,2020-04-04 10:02:04.020390
,,Anguilla,3,,,,,3,,200,,,,2020-04-04 10:07:08.822708
,,Anguilla,3,,,,,3,,200,,,,2020-04-04 10:12:13.128091
,,Anguilla,3,,,,,3,,200,,,,2020-04-04 10:17:17.807501
,,Anguilla,3,,,,,3,,200,,,,2020-04-04 10:22:21.728466
,,Anguilla,3,,,,,3,,200,,,,2020-04-04 10:27:26.261627
,,Anguilla,3,,,,,3,,200,,,,2020-04-04 10:32:31.199924
,,Anguilla,3,,,,,3,,200,,,,2020-04-04 10:37:35.603730
,,Anguilla,3,,,,,3,,200,,,,2020-04-04 10:42:39.950827
,,Anguilla,3,,,,,3,,200,,,,2020-04-04 10:47:44.444104
,,Anguilla,3,,,,,3,,200,,,,2020-04-04 10:52:48.903519
,,Anguilla,3,,,,,3,,200,,,,2020-04-04 10:57:53.372188
,,Anguilla,3,,,,,3,,200,,,,2020-04-04 11:02:57.837668
,,Anguilla,3,,,,,3,,200,,,,2020-04-04 11:08:02.444459
,,Anguilla,3,,,,,3,,200,,,,2020-04-04 11:13:06.966926
,,Anguilla,3,,,,,3,,200,,,,2020-04-04 11:18:11.457363
,,Anguilla,3,,,,,3,,200,,,,2020-04-04 11:23:15.927821
,,Anguilla,3,,,,,3,,200,,,,2020-04-04 11:28:20.676651
,,Anguilla,3,,,,,3,,200,,,,2020-04-04 11:33:25.153565
,,Anguilla,3,,,,,3,,200,,,,2020-04-04 11:38:29.645101
,,Anguilla,3,,,,,3,,200,,,,2020-04-04 11:43:34.277537
,,Anguilla,3,,,,,3,,200,,,,2020-04-04 11:48:39.162063
,,Anguilla,3,,,,,3,,200,,,,2020-04-04 11:53:43.636590
,,Anguilla,3,,,,,3,,200,,,,2020-04-04 11:58:48.161075
,,Anguilla,3,,,,,3,,200,,,,2020-04-04 12:03:52.440826
,,Anguilla,3,,,,,3,,200,,,,2020-04-04 12:08:56.902695
,,Anguilla,3,,,,,3,,200,,,,2020-04-04 12:14:01.388383
,,Anguilla,3,,,,,3,,200,,,,2020-04-04 12:19:05.961492
,,Anguilla,3,,,,,3,,200,,,,2020-04-04 12:24:10.542887
,,Anguilla,3,,,,,3,,200,,,,2020-04-04 12:29:15.162136
